getClassLoad,是否需要,如需要，请补充理由,,,,,,,,,,,,,,,,,
Landroid/accessibilityservice/AccessibilityServiceInfo;->setCapabilities(I)V,,,,,,,,,,,,,,,,,,,
Landroid/accounts/Account;->accessId:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/accounts/AccountManager;->confirmCredentialsAsUser(Landroid/accounts/Account;Landroid/os/Bundle;Landroid/app/Activity;Landroid/accounts/AccountManagerCallback;Landroid/os/Handler;Landroid/os/UserHandle;)Landroid/accounts/AccountManagerFuture;,,,,,,,,,,,,,,,,,,,
Landroid/accounts/AccountManager;->getAccountsByTypeAsUser(Ljava/lang/String;Landroid/os/UserHandle;)[Landroid/accounts/Account;,,,,,,,,,,,,,,,,,,,
Landroid/accounts/AccountManager;-><init>(Landroid/content/Context;Landroid/accounts/IAccountManager;Landroid/os/Handler;)V,,,,,,,,,,,,,,,,,,,
Landroid/accounts/Account;->TAG:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/animation/Animator;->reverse()V,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->attach(Landroid/content/Context;Landroid/app/ActivityThread;Landroid/app/Instrumentation;Landroid/os/IBinder;ILandroid/app/Application;Landroid/content/Intent;Landroid/content/pm/ActivityInfo;Ljava/lang/CharSequence;Landroid/app/Activity;Ljava/lang/String;Landroid/app/Activity$NonConfigurationInstances;Landroid/content/res/Configuration;Ljava/lang/String;Lcom/android/internal/app/IVoiceInteractor;Landroid/view/Window;Landroid/view/ViewRootImpl$ActivityConfigCallback;Landroid/os/IBinder;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->dispatchActivityResult(Ljava/lang/String;IILandroid/content/Intent;Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->finish(I)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->FRAGMENTS_TAG:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->managedQuery(Landroid/net/Uri;[Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Landroid/database/Cursor;,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$MemoryInfo;->hiddenAppThreshold:J,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$MemoryInfo;->secondaryServerThreshold:J,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$MemoryInfo;->visibleAppThreshold:J,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$RunningAppProcessInfo;->FLAG_HAS_ACTIVITIES:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$RunningAppProcessInfo;->FLAG_PERSISTENT:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$RunningAppProcessInfo;->IMPORTANCE_CANT_SAVE_STATE_PRE_26:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$RunningAppProcessInfo;->procStateToImportance(I)I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager$TaskSnapshot;->getTaskSize()Landroid/graphics/Point;,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_BOUND_FOREGROUND_SERVICE:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_CACHED_ACTIVITY:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_FOREGROUND_SERVICE:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_HOME:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_IMPORTANT_BACKGROUND:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_RECEIVER:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->PROCESS_STATE_SERVICE:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityManager;->switchUser(I)Z,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->onMovedToDisplay(ILandroid/content/res/Configuration;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->performCreate(Landroid/os/Bundle;Landroid/os/PersistableBundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Activity;->startActivityForResult(Ljava/lang/String;Landroid/content/Intent;ILandroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityTaskManager;->IActivityTaskManagerSingleton:Landroid/util/Singleton;,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityThread$AppBindData;->persistent:Z,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityThread;->getPackageInfo(Landroid/content/pm/ApplicationInfo;Landroid/content/res/CompatibilityInfo;I)Landroid/app/LoadedApk;,是,"【应用商店】影响的业务：商店提供给系统的安装服务，
即检查可以卸载的预装应用是否存在可安装的apk包。
如果有就安装，如果没有引流到商店。这里检查包信息需要用到反射。",,,,,,,,,,,,,,,,,
Landroid/app/ActivityThread;->mCurDefaultDisplayDpi:I,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityThread;->registerOnActivityPausedListener(Landroid/app/Activity;Landroid/app/OnActivityPausedListener;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/ActivityThread;->unregisterOnActivityPausedListener(Landroid/app/Activity;Landroid/app/OnActivityPausedListener;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DeviceAdminInfo;->getUsedPolicies()Ljava/util/ArrayList;,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->ACTION_DEVICE_POLICY_MANAGER_STATE_CHANGED:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->getMaximumTimeToLock(Landroid/content/ComponentName;I)J,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->getProfileOwnerAsUser(I)Landroid/content/ComponentName;,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->getRequiredStrongAuthTimeout(Landroid/content/ComponentName;I)J,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->getTrustAgentConfiguration(Landroid/content/ComponentName;Landroid/content/ComponentName;I)Ljava/util/List;,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->setActiveAdmin(Landroid/content/ComponentName;ZI)V,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->setGlobalProxy(Landroid/content/ComponentName;Ljava/net/Proxy;Ljava/util/List;)Landroid/content/ComponentName;,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/DevicePolicyManager;->throwIfParentInstance(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/admin/SecurityLog$SecurityEvent;-><init>([B)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostCreated(Landroid/app/Activity;Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostDestroyed(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostPaused(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostResumed(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostSaveInstanceState(Landroid/app/Activity;Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostStarted(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPostStopped(Landroid/app/Activity;)V,,,,,,,,,,,,,,,,,,,
Landroid/app/Application;->dispatchActivityPreCreated(Landroid/app/Activity;Landroid/os/Bundle;)V,,,,,,,,,,,,,,,,,,,
